power_perc,sm_perc,hardware_name,num_sms,mem_cap_gb,max_power_w,model_name,backend,num_views,image_resolution,precision,prompt_len,model_dir,num_steps,chunk_size,use_cuda_graph,num_sample_steps,use_torch_compile,batch_size,stage,num_params,flops,mem_fp_weight_gb,lat_mean,lat_std,energy_mean,energy_std,mem_fp_activation_gb_mean,mem_fp_activation_gb_std
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,flash_rt,2,224,fp16,10,checkpoints/pi05_libero_pytorch,10,10,True,,True,1,embed,,,,3.8990862987702712,0.0023293632038359465,0.395086616481794,0.00023602971471828592,nan,nan
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,flash_rt,2,224,fp16,10,checkpoints/pi05_libero_pytorch,10,10,True,,True,1,encode,,,,19.37235289660748,0.012269692945361017,3.472446949859534,0.17040714841612928,nan,nan
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,flash_rt,2,224,fp16,10,checkpoints/pi05_libero_pytorch,10,10,True,,True,1,decode,,,,9.087702300166711,0.007253823228131075,2.368283393803367,0.7380242150765858,nan,nan
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,1,embed,,,,10.317686753114685,0.03350833469686755,0.7959063561352668,0.0025848329385163636,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,2,embed,,,,16.753694954968523,0.11196007341943287,2.564583782446571,1.3043194659458206,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,4,embed,,,,27.152611798373982,0.14027437823870503,9.77678675265701,3.1036834105374047,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,8,embed,,,,40.74117275304161,0.18837151982720549,21.36493952562175,0.6314403317011994,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,1,encode,,,,27.04313279973576,0.0077761823806066985,14.230823380965116,0.151725463754506,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,2,encode,,,,56.44793919782387,0.19183107923049852,28.846640840398674,0.5355580827987887,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,4,encode,,,,104.13659570040181,0.3117254929478594,57.16878616532912,1.3665601025003815,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,8,encode,,,,195.92219495243626,0.18188975850930103,112.31274263516082,1.1286041970760825,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,1,decode,,,,2.128175299731083,0.07124591740552619,1.223290059512525,0.04095265204611832,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,2,decode,,,,3.1002514515421353,0.09835198496358567,1.6969604036360817,0.07050324323240979,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,4,decode,,,,4.632710349687841,0.1404788000841834,2.46075675644369,0.0746181242407157,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,8,decode,,,,7.225514450692572,0.11077543614749479,3.8379765107743724,0.05884058841846477,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,16,decode,,,,12.754169148684014,0.11766469973426347,5.503691825209275,0.050774788894029,0.0,0.0
1.0,1.0,NVIDIA GeForce RTX 5090,170,33.668268032,575.0,pi05_libero,openpi,2,224,bf16,10,checkpoints/pi05_libero_pytorch,1,10,True,,True,32,decode,,,,24.26830259792041,0.12098321216530694,9.83607312325302,0.08397731275605261,0.0,0.0
