nvpmodel_mode,execution,power_perc,sm_perc,hardware_name,num_sms,mem_cap_gb,max_power_w,model_name,backend,num_views,image_resolution,precision,prompt_len,model_dir,num_steps,chunk_size,use_cuda_graph,max_batch_size,num_sample_steps,batch_size,stage,num_params,flops,mem_fp_weight_gb,mem_fp_activation_gb,lat_mean,lat_std,energy_mean,energy_std
2,flash_rt-graph,1.0,0.6,NVIDIA Thor,12,131.881050112,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,preprocess,nan,nan,nan,nan,0.252873260008073,0.03170354968245152,0.007381432637219662,0.0009480428786331425
2,flash_rt-graph,1.0,0.6,NVIDIA Thor,12,131.881050112,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,embed,nan,nan,nan,nan,26.48623166000334,2.9967873742310753,0.7676102008035509,0.08468314512877716
2,flash_rt-graph,1.0,0.6,NVIDIA Thor,12,131.881050112,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,encode,nan,nan,nan,nan,72.98709294000219,5.616817410749828,2.1866189742063766,0.13835193056745868
2,flash_rt-graph,1.0,0.6,NVIDIA Thor,12,131.881050112,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,decode,nan,nan,nan,nan,43.1744496899978,4.162666404450856,1.3027537748884839,0.11008020946376224
2,flash_rt-graph,1.0,0.6,NVIDIA Thor,12,131.881050112,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,postprocess,nan,nan,nan,nan,0.1777204800009713,0.04296377051260131,0.005193737793047493,0.001212118525449231
2,flash_rt-graph,1.0,1.0,NVIDIA Thor,12,131.881050112,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,preprocess,nan,nan,nan,nan,0.25333493001426177,0.02035729118165836,0.008893693814346777,0.0007436341894601063
2,flash_rt-graph,1.0,1.0,NVIDIA Thor,12,131.881050112,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,embed,nan,nan,nan,nan,17.888956800004507,1.5443800017159788,0.6255486012829637,0.05317604803159908
2,flash_rt-graph,1.0,1.0,NVIDIA Thor,12,131.881050112,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,encode,nan,nan,nan,nan,51.635207639997134,3.7227057849038725,1.8713439259246902,0.13515205115794815
2,flash_rt-graph,1.0,1.0,NVIDIA Thor,12,131.881050112,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,decode,nan,nan,nan,nan,41.369782810006654,3.014547492496959,1.5055865716329238,0.10542548115704009
2,flash_rt-graph,1.0,1.0,NVIDIA Thor,12,131.881050112,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,postprocess,nan,nan,nan,nan,0.20378927998763174,0.01843152504091757,0.007170996884899943,0.0006209606770144708
