power_perc,sm_perc,hardware_name,num_sms,mem_cap_gb,max_power_w,model_name,backend,num_views,image_resolution,precision,prompt_len,model_dir,num_steps,chunk_size,use_cuda_graph,max_batch_size,num_sample_steps,batch_size,stage,num_params,flops,mem_fp_weight_gb,mem_fp_activation_gb,lat_mean,lat_std,energy_mean,energy_std
1.0,0.6,NVIDIA Thor,20,131.881054208,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,preprocess,nan,nan,nan,nan,0.24681712000045763,0.02241379914777381,0.009952058778853409,0.0008337965899728306
1.0,0.6,NVIDIA Thor,20,131.881054208,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,embed,nan,nan,nan,nan,15.141415050000262,1.2086449265472716,0.6094315462161147,0.042126415748255853
1.0,0.6,NVIDIA Thor,20,131.881054208,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,encode,nan,nan,nan,nan,50.90039962000034,1.7521900661388274,2.113160590201119,0.06755008817936828
1.0,0.6,NVIDIA Thor,20,131.881054208,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,decode,nan,nan,nan,nan,37.82093344000046,3.103034000456524,1.5740678112763697,0.11871990601562188
1.0,0.6,NVIDIA Thor,20,131.881054208,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,postprocess,nan,nan,nan,nan,0.1662686000014446,0.04014148321172593,0.006710757442858512,0.0015587462605292804
1.0,1.0,NVIDIA Thor,20,131.881054208,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,preprocess,nan,nan,nan,nan,0.24066765999933182,0.02894082203805806,0.010547824035040489,0.0012240827074027647
1.0,1.0,NVIDIA Thor,20,131.881054208,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,embed,nan,nan,nan,nan,13.636083159999684,1.0350529433015105,0.5967199045314113,0.0412317171654116
1.0,1.0,NVIDIA Thor,20,131.881054208,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,encode,nan,nan,nan,nan,43.941315919999795,1.7571069240145836,1.9850422782045007,0.0756106977100054
1.0,1.0,NVIDIA Thor,20,131.881054208,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,decode,nan,nan,nan,nan,37.80972678000083,3.2964664562986954,1.7117299075526922,0.1333824004118696
1.0,1.0,NVIDIA Thor,20,131.881054208,nan,pi05_libero,flash_rt,2,224,fp16,10,/home/wiselab/RoboSys/checkpoints/pi05_libero_pytorch,10,10,True,10,,1,postprocess,nan,nan,nan,nan,0.1506882400002496,0.033750265796085054,0.006623735714976328,0.0014726917280354608
